channel,city,region,customer_name,order_date,order_id,department,product_category_gender,product_sub_category,product_sku,product_name,distance_from_warehouse,price,cost_of_sale,discount,order_quantity,sales,gross_profit,gross_profit_margin
Franchise,Abbey Ward,Buckinghamshire,K & R Associates Inc,01.01.18,9637,Clothing,Men,Hoodies & Sweatshirts,MH01-XL-Black,Chaz Kangeroo Hoodie-XL-Black,160,36,289.40 ,0.10 ,12,432,143,33.0%
Franchise,Abbey Ward,Buckinghamshire,"Cain, John M Esq",01.01.18,30016,Clothing,Men,Hoodies & Sweatshirts,MH01-XL-Gray,Chaz Kangeroo Hoodie-XL-Gray,160,37,142.10 ,0.00 ,8,296,154,52.0%
Franchise,Abbey Ward,Buckinghamshire,Sound Vision Corp,01.01.18,11972,Clothing,Men,Hoodies & Sweatshirts,MH01-XL-Orange,Chaz Kangeroo Hoodie-XL-Orange,160,37,57.70 ,0.00 ,4,148,90,61.0%
Franchise,Parwich,Derbyshire,Rowley/hansell Petetin,01.01.18,40354,Clothing,Men,Hoodies & Sweatshirts,MH01-XS-Black,Chaz Kangeroo Hoodie-XS-Black,175,43,46.40 ,0.10 ,4,172,126,73.0%
Franchise,Wilmington,Kent,Industrial Engineering Assocs,01.01.18,9637,Clothing,Men,Hoodies & Sweatshirts,MH01-XS-Gray,Chaz Kangeroo Hoodie-XS-Gray,45,27,84.20 ,0.00 ,12,324,240,74.0%
Small chain store,Loundsley Green Ward,Derbyshire,Weiss Spirt & Guyer,01.01.18,30016,Clothing,Men,Hoodies & Sweatshirts,MH01-XS-Orange,Chaz Kangeroo Hoodie-XS-Orange,55,26,167.70 ,0.00 ,15,390,222,57.0%
Supermarket,East Southbourne and Tuckton W,Bournemouth,"Crowan, Kenneth W Esq",01.01.18,9762,Clothing,Men,Hoodies & Sweatshirts,MH02,Teton Pullover Hoodie,20,20,72.00 ,0.10 ,12,240,168,70.0%
Supermarket,Dee Ward,Dumfries and Galloway,Rittenhouse Motor Co,01.01.18,9637,Clothing,Men,Hoodies & Sweatshirts,MH02-L-Black,Teton Pullover Hoodie-L-Black,35,36,776.20 ,0.10 ,49,1764,988,56.0%
Local store,"Broxburn, Uphall and Winchburg",West Lothian,Modern Plastics Corp,02.01.18,8710,Clothing,Men,Hoodies & Sweatshirts,MH02-L-Purple,Teton Pullover Hoodie-L-Purple,155,39,868.10 ,0.10 ,42,1638,770,47.0%
Supermarket,Abbey Ward,Buckinghamshire,Galloway Electric Co Inc,02.01.18,8710,Clothing,Men,Hoodies & Sweatshirts,MH02-L-Red,Teton Pullover Hoodie-L-Red,160,43,453.20 ,0.00 ,17,731,278,38.0%
Supermarket,Weston-Super-Mare,North Somerset,Niagara Custombuilt Mfg Co,02.01.18,49730,Clothing,Men,Hoodies & Sweatshirts,MH02-M-Black,Teton Pullover Hoodie-M-Black,45,36,28.10 ,0.10 ,3,108,80,74.0%
Local store,Carbrooke,Norfolk,Practical Periphrals,03.01.18,59232,Clothing,Men,Hoodies & Sweatshirts,MH02-M-Purple,Teton Pullover Hoodie-M-Purple,205,44,516.10 ,0.00 ,23,1012,496,49.0%
Local store,Carbrooke,Norfolk,"Curtin, Patricia M Esq",03.01.18,1028,Clothing,Men,Hoodies & Sweatshirts,MH02-M-Red,Teton Pullover Hoodie-M-Red,205,38,209.00 ,0.00 ,11,418,209,50.0%
Local store,"Broxburn, Uphall and Winchburg",West Lothian,"Wilhelm, James E Jr",03.01.18,57253,Clothing,Men,Hoodies & Sweatshirts,MH02-S-Black,Teton Pullover Hoodie-S-Black,155,36,432.00 ,0.00 ,25,900,468,52.0%
Local store,New Milton,Hampshire,Smart Signs,03.01.18,57253,Clothing,Men,Hoodies & Sweatshirts,MH02-S-Purple,Teton Pullover Hoodie-S-Purple,35,25,326.30 ,0.10 ,29,725,399,55.0%
Local store,Parkham,Devon,Arctic Star Distributing Inc,03.01.18,52386,Clothing,Men,Hoodies & Sweatshirts,MH02-S-Red,Teton Pullover Hoodie-S-Red,90,27,108.50 ,0.10 ,6,162,54,33.0%
Franchise,Darnall Ward,"Yorkshire, South","Lensbower, Gregory L Esq",03.01.18,57253,Clothing,Men,Hoodies & Sweatshirts,MH02-XL-Black,Teton Pullover Hoodie-XL-Black,85,39,737.90 ,0.10 ,43,1677,939,56.0%
Small chain store,Abbey Ward,Buckinghamshire,Portal Metal Products,03.01.18,28451,Clothing,Men,Hoodies & Sweatshirts,MH02-XL-Purple,Teton Pullover Hoodie-XL-Purple,160,40,378.00 ,0.00 ,21,840,462,55.0%
Small chain store,Loundsley Green Ward,Derbyshire,"Lynema, Cliff Cpa",03.01.18,32418,Clothing,Men,Hoodies & Sweatshirts,MH02-XL-Red,Teton Pullover Hoodie-XL-Red,55,44,114.40 ,0.10 ,5,220,106,48.0%
Small chain store,Loundsley Green Ward,Derbyshire,J C S Machinery,03.01.18,25601,Clothing,Men,Hoodies & Sweatshirts,MH02-XS-Black,Teton Pullover Hoodie-XS-Black,55,26,693.20 ,0.10 ,43,1118,425,38.0%
Small chain store,Marldon,Devon,"Berick, Joseph G Esq",03.01.18,57253,Clothing,Men,Hoodies & Sweatshirts,MH02-XS-Purple,Teton Pullover Hoodie-XS-Purple,45,38,893.80 ,0.10 ,48,1824,930,51.0%
Small chain store,Darnall Ward,"Yorkshire, South",Jackson & Heit Machine Co Inc,03.01.18,1028,Clothing,Men,Hoodies & Sweatshirts,MH02-XS-Red,Teton Pullover Hoodie-XS-Red,85,23,60.70 ,0.00 ,6,138,77,56.0%
Supermarket,Prestatyn Community,Denbighshire,Bridgeway Plan For Health,03.01.18,290,Clothing,Men,Hoodies & Sweatshirts,MH03,Bruno Compete Hoodie,55,36,509.80 ,0.10 ,24,864,354,41.0%
Supermarket,Abbey Ward,Buckinghamshire,Wa Inst For Plcy Studies,03.01.18,57253,Clothing,Men,Hoodies & Sweatshirts,MH03-L-Black,Bruno Compete Hoodie-L-Black,160,42,1173.10 ,0.10 ,49,2058,885,43.0%
Supermarket,Loundsley Green Ward,Derbyshire,Wmgl 101.7 Fm,03.01.18,28451,Clothing,Men,Hoodies & Sweatshirts,MH03-L-Blue,Bruno Compete Hoodie-L-Blue,55,37,910.20 ,0.00 ,41,1517,607,40.0%
Supermarket,Lye and Stourbridge North Ward,West Midlands,"Hughlett, Henry T Jr",03.01.18,28451,Clothing,Men,Hoodies & Sweatshirts,MH03-L-Green,Bruno Compete Hoodie-L-Green,25,35,485.10 ,0.00 ,33,1155,670,58.0%
Local store,Carbrooke,Norfolk,Penrose Place Pharmacy Inc,04.01.18,14274,Clothing,Men,Hoodies & Sweatshirts,MH03-M-Black,Bruno Compete Hoodie-M-Black,205,28,31.40 ,0.00 ,2,56,25,43.9%
Local store,Carbrooke,Norfolk,"Novak, Alan Paul Esq",04.01.18,14274,Clothing,Men,Hoodies & Sweatshirts,MH03-M-Blue,Bruno Compete Hoodie-M-Blue,205,45,569.30 ,0.00 ,23,1035,466,45.0%
Local store,New Milton,Hampshire,Smart Signs,04.01.18,23488,Clothing,Men,Hoodies & Sweatshirts,MH03-M-Green,Bruno Compete Hoodie-M-Green,35,24,216.00 ,0.00 ,30,720,504,70.0%
Franchise,Carbrooke,Norfolk,B & S Tool And Cutter Svc Inc,04.01.18,6854,Clothing,Men,Hoodies & Sweatshirts,MH03-S-Black,Bruno Compete Hoodie-S-Black,205,34,21.80 ,0.10 ,1,34,12,35.9%
Franchise,Warlingham,Surrey,"Berry, John M Esq",04.01.18,41094,Clothing,Men,Hoodies & Sweatshirts,MH03-S-Blue,Bruno Compete Hoodie-S-Blue,50,30,717.60 ,0.10 ,46,1380,662,48.0%
Franchise,Lye and Stourbridge North Ward,West Midlands,"Alden, Michael H Esq",04.01.18,6854,Clothing,Men,Hoodies & Sweatshirts,MH03-S-Green,Bruno Compete Hoodie-S-Green,25,45,572.90 ,0.10 ,19,855,282,33.0%
Franchise,Newport,Isle of Wight,Ernest E Heuer & Company Pc,04.01.18,16961,Clothing,Men,Hoodies & Sweatshirts,MH03-XL-Black,Bruno Compete Hoodie-XL-Black,80,39,848.60 ,0.00 ,34,1326,477,36.0%
Franchise,Chichester,West Sussex,"Frankel, Stephen",04.01.18,23488,Clothing,Men,Hoodies & Sweatshirts,MH03-XL-Blue,Bruno Compete Hoodie-XL-Blue,20,37,665.30 ,0.00 ,29,1073,408,38.0%
Small chain store,Loundsley Green Ward,Derbyshire,Guynes Design Inc,04.01.18,16770,Clothing,Men,Hoodies & Sweatshirts,MH03-XL-Green,Bruno Compete Hoodie-XL-Green,55,34,213.90 ,0.00 ,17,578,364,63.0%
Small chain store,Steornabhagh a Deas Ward,Western Isles,General Appraisal Co,04.01.18,16961,Clothing,Men,Hoodies & Sweatshirts,MH03-XS-Black,Bruno Compete Hoodie-XS-Black,50,35,264.60 ,0.10 ,27,945,680,72.0%
Small chain store,Parwich,Derbyshire,Sheraton Inn Ocean Front,04.01.18,14274,Clothing,Men,Hoodies & Sweatshirts,MH03-XS-Blue,Bruno Compete Hoodie-XS-Blue,175,40,552.00 ,0.00 ,46,1840,1288,70.0%
Small chain store,South Ward,North Eart Lincolnshire,Cooper Myers Y Co,04.01.18,48226,Clothing,Men,Hoodies & Sweatshirts,MH03-XS-Green,Bruno Compete Hoodie-XS-Green,60,22,141.70 ,0.00 ,23,506,364,72.0%
Supermarket,Abbey Ward,Buckinghamshire,Cash 4 Checks,04.01.18,41094,Clothing,Men,Hoodies & Sweatshirts,MH04,Frankie  Sweatshirt,160,38,120.80 ,0.10 ,6,228,107,47.0%
Local store,Carbrooke,Norfolk,Charlotte Chamber,05.01.18,18405,Clothing,Men,Hoodies & Sweatshirts,MH04-L-Green,Frankie  Sweatshirt-L-Green,205,20,216.00 ,0.10 ,30,600,384,64.0%
Local store,Carbrooke,Norfolk,Kisc 98 Kiss Fm,05.01.18,43909,Clothing,Men,Hoodies & Sweatshirts,MH04-L-White,Frankie  Sweatshirt-L-White,205,22,334.00 ,0.10 ,46,1012,678,67.0%
Franchise,Newquay,Cornwall,"Schwartzbard, Gail L Esq",05.01.18,33923,Clothing,Men,Hoodies & Sweatshirts,MH04-L-Yellow,Frankie  Sweatshirt-L-Yellow,95,40,734.40 ,0.10 ,34,1360,626,46.0%
Franchise,Brimpton,Berkshire,Marketing Horizons Inc,05.01.18,3073,Clothing,Men,Hoodies & Sweatshirts,MH04-M-Green,Frankie  Sweatshirt-M-Green,35,41,143.50 ,0.10 ,7,287,144,50.0%
Franchise,Shard End Ward,West Midlands,"Brady, Brad J Esq",05.01.18,40704,Clothing,Men,Hoodies & Sweatshirts,MH04-M-White,Frankie  Sweatshirt-M-White,35,39,135.70 ,0.00 ,6,234,98,42.0%
Small chain store,Abbey Ward,Buckinghamshire,Welders Supply,05.01.18,32295,Clothing,Men,Hoodies & Sweatshirts,MH04-M-Yellow,Frankie  Sweatshirt-M-Yellow,160,42,184.80 ,0.10 ,11,462,277,60.0%
Supermarket,Dee Ward,Dumfries and Galloway,Rittenhouse Motor Co,05.01.18,3073,Clothing,Men,Hoodies & Sweatshirts,MH04-S-Green,Frankie  Sweatshirt-S-Green,35,31,62.30 ,0.10 ,3,93,31,33.0%
Supermarket,Letchworth South West Ward,Hertfordshire,Bomarko Inc,05.01.18,18405,Clothing,Men,Hoodies & Sweatshirts,MH01-L-Orange,Chaz Kangeroo Hoodie-L-Orange,35,35,43.40 ,0.00 ,2,70,27,38.0%
Supermarket,Letchworth South West Ward,Hertfordshire,"Benitez, Brigida Esq",05.01.18,3073,Clothing,Men,Hoodies & Sweatshirts,MH04-S-White,Frankie  Sweatshirt-S-White,35,45,79.70 ,0.10 ,3,135,55,41.0%
Franchise,Longhill Ward,"Yorkshire, East (North Humbers",Kennedy Scales Inc,06.01.18,7203,Clothing,Men,Hoodies & Sweatshirts,MH04-S-Yellow,Frankie  Sweatshirt-S-Yellow,25,23,281.80 ,0.00 ,25,575,293,51.0%
Small chain store,Abbey Ward,Buckinghamshire,Barajas & Bustamante Archl,06.01.18,4193,Clothing,Men,Hoodies & Sweatshirts,MH04-XL-Green,Frankie  Sweatshirt-XL-Green,160,24,20.90 ,0.00 ,3,72,51,71.0%
Small chain store,Franche Ward,Hereford and Worcester,Brewster Wallcoverings Co,06.01.18,4193,Clothing,Men,Hoodies & Sweatshirts,MH04-XL-White,Frankie  Sweatshirt-XL-White,35,43,399.00 ,0.10 ,16,688,289,42.0%
Supermarket,Whittington,Shropshire,Bohs Well Drilling Inc,06.01.18,30083,Clothing,Men,Hoodies & Sweatshirts,MH04-XL-Yellow,Frankie  Sweatshirt-XL-Yellow,25,32,309.10 ,0.10 ,23,736,427,58.0%
Local store,Whittington,Shropshire,"Gavin, Lee W Esq",07.01.18,47138,Clothing,Men,Hoodies & Sweatshirts,MH04-XS-Green,Frankie  Sweatshirt-XS-Green,25,26,7.30 ,0.00 ,1,26,19,71.9%
Local store,Cockerton West Ward,Darlington,"Reid, Carleton B Esq",07.01.18,31715,Clothing,Men,Hoodies & Sweatshirts,MH04-XS-White,Frankie  Sweatshirt-XS-White,35,43,588.20 ,0.10 ,24,1032,444,43.0%
Local store,Castle Ward,West Sussex,"Canterbury, Christopher C",07.01.18,8576,Clothing,Men,Hoodies & Sweatshirts,MH04-XS-Yellow,Frankie  Sweatshirt-XS-Yellow,40,31,853.10 ,0.00 ,43,1333,480,36.0%
Local store,Devizes,Wiltshire,Omni Mandalay,07.01.18,58343,Clothing,Men,Hoodies & Sweatshirts,MH05,Hollister Backyard Sweatshirt,40,33,759.30 ,0.10 ,39,1287,528,41.0%
Franchise,Colnbrook with Poyle,Buckinghamshire,Lba Savings Bank,07.01.18,31715,Clothing,Men,Hoodies & Sweatshirts,MH05-L-Green,Hollister Backyard Sweatshirt-L-Green,55,28,172.50 ,0.00 ,11,308,136,44.0%
Franchise,Parwich,Derbyshire,"Lutz, Christopher T Esq",07.01.18,18561,Clothing,Men,Hoodies & Sweatshirts,MH05-L-Red,Hollister Backyard Sweatshirt-L-Red,175,22,49.50 ,0.00 ,9,198,149,75.0%
Supermarket,Abbey Ward,Buckinghamshire,Association Of Art Museum Dir,07.01.18,40097,Clothing,Men,Hoodies & Sweatshirts,MH05-L-White,Hollister Backyard Sweatshirt-L-White,160,21,513.20 ,0.10 ,47,987,474,48.0%
Supermarket,Marldon,Devon,L & L Sales Co Inc,07.01.18,31715,Clothing,Men,Hoodies & Sweatshirts,MH05-M-Green,Hollister Backyard Sweatshirt-M-Green,45,35,739.20 ,0.10 ,44,1540,801,52.0%
Local store,Aldridge Central and South War,West Midlands,"Cavuto, John A",08.01.18,33988,Clothing,Men,Hoodies & Sweatshirts,MH05-M-Red,Hollister Backyard Sweatshirt-M-Red,10,20,210.00 ,0.00 ,30,600,390,65.0%
Local store,Carbrooke,Norfolk,Pacific Coast Packaging,08.01.18,28999,Clothing,Men,Hoodies & Sweatshirts,MH05-M-White,Hollister Backyard Sweatshirt-M-White,205,42,357.00 ,0.00 ,34,1428,1071,75.0%
Local store,Letchworth South West Ward,Hertfordshire,Storm Eye Institute,08.01.18,31553,Clothing,Men,Hoodies & Sweatshirts,MH05-S-Green,Hollister Backyard Sweatshirt-S-Green,35,39,361.90 ,0.10 ,32,1248,886,71.0%
Local store,East Putney Ward,Greater London,Automation Engrg & Mfg Inc,08.01.18,28290,Clothing,Men,Hoodies & Sweatshirts,MH05-S-Red,Hollister Backyard Sweatshirt-S-Red,70,27,43.70 ,0.00 ,3,81,37,46.0%
Franchise,Carbrooke,Norfolk,B & S Tool And Cutter Svc Inc,08.01.18,44391,Clothing,Men,Hoodies & Sweatshirts,MH05-S-White,Hollister Backyard Sweatshirt-S-White,205,34,331.80 ,0.00 ,16,544,212,39.0%
Franchise,Abbey Ward,Buckinghamshire,Packaging Corp Of America,08.01.18,55367,Clothing,Men,Hoodies & Sweatshirts,MH05-XL-Green,Hollister Backyard Sweatshirt-XL-Green,160,28,260.40 ,0.10 ,31,868,608,70.0%
Franchise,Hawerby cum Beesby,Lincolnshire,"Goe, Douglas E Esq",08.01.18,55367,Clothing,Men,Hoodies & Sweatshirts,MH05-XL-Red,Hollister Backyard Sweatshirt-XL-Red,40,33,934.60 ,0.10 ,48,1584,649,41.0%
Franchise,Loundsley Green Ward,Derbyshire,Burgess Steel Products Corp,08.01.18,20037,Clothing,Men,Hoodies & Sweatshirts,MH05-XL-White,Hollister Backyard Sweatshirt-XL-White,55,21,485.10 ,0.00 ,35,735,250,34.0%
Franchise,Sawston,Cambridgeshire,Tipton & Hurst,08.01.18,14596,Clothing,Men,Hoodies & Sweatshirts,MH05-XS-Green,Hollister Backyard Sweatshirt-XS-Green,5,26,399.40 ,0.00 ,24,624,225,36.0%
Franchise,Chirton Ward,Tyne & Wear,In Communications Inc,08.01.18,28290,Clothing,Men,Hoodies & Sweatshirts,MH05-XS-Red,Hollister Backyard Sweatshirt-XS-Red,130,22,397.30 ,0.10 ,43,946,549,58.0%
Supermarket,Abbey Ward,Buckinghamshire,A O Hardee & Son Inc,08.01.18,14596,Clothing,Men,Hoodies & Sweatshirts,MH05-XS-White,Hollister Backyard Sweatshirt-XS-White,160,25,304.00 ,0.10 ,19,475,171,36.0%
Supermarket,Parwich,Derbyshire,"Jonson, Geo D Esq",08.01.18,20037,Clothing,Men,Hoodies & Sweatshirts,MH06,Stark Fundamental Hoodie,175,25,490.00 ,0.00 ,49,1225,735,60.0%
Local store,"Broxburn, Uphall and Winchburg",West Lothian,"Wilhelm, James E Jr",09.01.18,33797,Clothing,Men,Hoodies & Sweatshirts,MH06-L-Black,Stark Fundamental Hoodie-L-Black,155,39,252.70 ,0.00 ,18,702,449,64.0%
Franchise,Longhill Ward,"Yorkshire, East (North Humbers",Dale Yoder Clu Life Hlth & Bus,09.01.18,33797,Clothing,Men,Hoodies & Sweatshirts,MH06-L-Blue,Stark Fundamental Hoodie-L-Blue,25,28,319.20 ,0.10 ,20,560,241,43.0%
Franchise,Abbey Ward,Buckinghamshire,Council Of Cmnty Blood Ctrs,09.01.18,19655,Clothing,Men,Hoodies & Sweatshirts,MH06-L-Purple,Stark Fundamental Hoodie-L-Purple,160,27,502.20 ,0.10 ,31,837,335,40.0%
Franchise,Abbey Ward,Buckinghamshire,"Tremont, Michael A Esq",09.01.18,21830,Clothing,Men,Hoodies & Sweatshirts,MH06-M-Black,Stark Fundamental Hoodie-M-Black,160,28,276.60 ,0.10 ,19,532,255,48.0%
Franchise,Parwich,Derbyshire,"Trautman, Eileen Esq",09.01.18,33797,Clothing,Men,Hoodies & Sweatshirts,MH06-M-Blue,Stark Fundamental Hoodie-M-Blue,175,38,716.30 ,0.10 ,29,1102,386,35.0%
Franchise,Castle Ward,West Sussex,Office Service Co,09.01.18,33797,Clothing,Men,Hoodies & Sweatshirts,MH06-M-Purple,Stark Fundamental Hoodie-M-Purple,40,38,551.80 ,0.00 ,44,1672,1120,67.0%
Supermarket,Carbrooke,Norfolk,Alphabetland Pre School Center,09.01.18,33797,Clothing,Men,Hoodies & Sweatshirts,MH06-S-Black,Stark Fundamental Hoodie-S-Black,205,26,280.80 ,0.10 ,18,468,187,40.0%
Local store,"Broxburn, Uphall and Winchburg",West Lothian,Shamrock Food Service,10.01.18,20549,Clothing,Men,Hoodies & Sweatshirts,MH06-S-Blue,Stark Fundamental Hoodie-S-Blue,155,43,808.40 ,0.10 ,40,1720,912,53.0%
Local store,Parwich,Derbyshire,Central Hrdwr & Elec Corp,10.01.18,7461,Clothing,Men,Hoodies & Sweatshirts,MH06-S-Purple,Stark Fundamental Hoodie-S-Purple,175,25,583.00 ,0.00 ,44,1100,517,47.0%
Franchise,Abbey Ward,Buckinghamshire,Matt Parrott & Sons Co,10.01.18,43362,Clothing,Men,Hoodies & Sweatshirts,MH06-XL-Black,Stark Fundamental Hoodie-XL-Black,160,21,298.00 ,0.00 ,33,693,395,57.0%
Small chain store,Abbey Ward,Buckinghamshire,Tiny Tots Originals Div,10.01.18,27813,Clothing,Men,Hoodies & Sweatshirts,MH06-XL-Blue,Stark Fundamental Hoodie-XL-Blue,160,42,273.00 ,0.10 ,10,420,147,35.0%
Small chain store,Darnall Ward,"Yorkshire, South",Jackson & Heit Machine Co Inc,10.01.18,7461,Clothing,Men,Hoodies & Sweatshirts,MH06-XL-Purple,Stark Fundamental Hoodie-XL-Purple,85,23,132.50 ,0.10 ,12,276,144,52.0%
Supermarket,Abbey Ward,Buckinghamshire,"Lovitch, Alan F",10.01.18,37862,Clothing,Men,Hoodies & Sweatshirts,MH06-XS-Black,Stark Fundamental Hoodie-XS-Black,160,43,406.40 ,0.00 ,27,1161,755,65.0%
Supermarket,New Milton,Hampshire,Wise Industries,10.01.18,43362,Clothing,Men,Hoodies & Sweatshirts,MH02-XS-Red,Teton Pullover Hoodie-XS-Red,35,25,483.80 ,0.00 ,45,1125,641,57.0%
Supermarket,Whittington,Shropshire,East County Process,10.01.18,7461,Clothing,Men,Hoodies & Sweatshirts,MH06-XS-Blue,Stark Fundamental Hoodie-XS-Blue,25,44,665.30 ,0.00 ,28,1232,567,46.0%
Franchise,Wakefield North Ward,West Yorkshire,Agopgee Enterprises Inc,11.01.18,25541,Clothing,Men,Hoodies & Sweatshirts,MH06-XS-Purple,Stark Fundamental Hoodie-XS-Purple,10,44,1078.00 ,0.10 ,50,2200,1122,51.0%
Franchise,Abbey Ward,Buckinghamshire,L Winik & Associates Inc,11.01.18,13602,Clothing,Men,Hoodies & Sweatshirts,MH07,Hero Hoodie,160,40,32.40 ,0.00 ,3,120,88,73.0%
Franchise,St. Enoder,Cornwall,"Rosati, Marc D Esq",11.01.18,13602,Clothing,Men,Hoodies & Sweatshirts,MH07-L-Black,Hero Hoodie-L-Black,30,25,208.00 ,0.00 ,13,325,117,36.0%
Small chain store,Ryde,Isle of Wight,Rust Evader Corp,11.01.18,51623,Clothing,Men,Hoodies & Sweatshirts,MH07-L-Gray,Hero Hoodie-L-Gray,40,39,338.10 ,0.10 ,17,663,325,49.0%
Local store,Carbrooke,Norfolk,Budget Annex,12.01.18,43911,Clothing,Men,Hoodies & Sweatshirts,MH07-L-Green,Hero Hoodie-L-Green,205,27,192.50 ,0.10 ,23,621,429,69.0%
Local store,"Broxburn, Uphall and Winchburg",West Lothian,"Wilhelm, James E Jr",12.01.18,8325,Clothing,Men,Hoodies & Sweatshirts,MH07-M-Black,Hero Hoodie-M-Black,155,38,319.20 ,0.10 ,21,798,479,60.0%
Local store,Bargate Ward,Southampton,Kiqo Pure Gold Oldies 104 Fm,12.01.18,30567,Clothing,Men,Hoodies & Sweatshirts,MH07-M-Gray,Hero Hoodie-M-Gray,35,42,70.60 ,0.00 ,3,126,55,44.0%
Franchise,Abbey Ward,Buckinghamshire,Segall Majestic Inc,12.01.18,43911,Clothing,Men,Hoodies & Sweatshirts,MH06-M-Black,Stark Fundamental Hoodie-M-Black,160,24,361.90 ,0.10 ,29,696,334,48.0%
Franchise,St. Stephens Ward,Kent,Taos Valley Resort Assn,12.01.18,30567,Clothing,Men,Hoodies & Sweatshirts,MH07-M-Green,Hero Hoodie-M-Green,40,32,120.30 ,0.10 ,8,256,136,53.0%
Franchise,Chirton Ward,Tyne & Wear,In Communications Inc,12.01.18,34691,Clothing,Men,Hoodies & Sweatshirts,MH05-L-Green,Hollister Backyard Sweatshirt-L-Green,130,33,402.30 ,0.00 ,23,759,357,47.0%
Small chain store,Carbrooke,Norfolk,Exhibit Crafts Inc,12.01.18,43911,Clothing,Men,Hoodies & Sweatshirts,MH06-XL-Black,Stark Fundamental Hoodie-XL-Black,205,33,487.10 ,0.00 ,36,1188,701,59.0%
Small chain store,Laindon Park Ward,Essex,"Laitinen, Stephen B Esq",12.01.18,30567,Clothing,Men,Hoodies & Sweatshirts,MH07-S-Black,Hero Hoodie-S-Black,90,42,282.20 ,0.00 ,14,588,306,52.0%
Small chain store,Abbey Ward,Buckinghamshire,Herr Foods Inc,12.01.18,34691,Clothing,Men,Hoodies & Sweatshirts,MH03-M-Black,Bruno Compete Hoodie-M-Black,160,27,291.60 ,0.10 ,27,729,437,60.0%
Small chain store,Lymington and Pennington,Hampshire,Tiburon Pen Chmbr Commrce Inc,12.01.18,8325,Clothing,Men,Hoodies & Sweatshirts,MH07-S-Gray,Hero Hoodie-S-Gray,45,38,554.00 ,0.10 ,27,1026,472,46.0%
Supermarket,New Milton,Hampshire,Wise Industries,12.01.18,30567,Clothing,Men,Hoodies & Sweatshirts,MH07-S-Green,Hero Hoodie-S-Green,35,21,179.30 ,0.10 ,14,294,115,39.0%
Supermarket,Aylesbury,Buckinghamshire,Agri Business Insurance Agency,12.01.18,34691,Clothing,Men,Hoodies & Sweatshirts,MH07-XL-Black,Hero Hoodie-XL-Black,80,37,312.70 ,0.10 ,13,481,168,35.0%
Local store,Burmantofts and Richmond Hill ,West Yorkshire,"Gerstenfeld, Gerald F Esq",13.01.18,22243,Clothing,Men,Hoodies & Sweatshirts,MH07-XL-Gray,Hero Hoodie-XL-Gray,40,24,73.40 ,0.10 ,9,216,143,66.0%
